,Key,Value
155,IfcExternalSpatialElement.EXTERNAL,IfcElement
156,IfcExternalSpatialElement.EXTERNAL,IfcFlowMeter
157,IfcExternalSpatialElement.EXTERNAL,IfcDistributionControlElement
158,IfcController.FLOATING,IfcSign
159,IfcTask,IfcElementQuantity
160,IfcAudioVisualAppliance.DISPLAY,IfcTask
161,IfcAudioVisualAppliance.DISPLAY,IfcTask
162,IfcAudioVisualAppliance.DISPLAY,IfcTask
163,IfcAlignment,IfcAlignment
164,IfcAlignment,IfcCompositeCurve
165,IfcAlignment,IfcOffsetCurveByDistances
166,IfcAlignment,IfcPolyline
167,IfcFacilityPartCommon.SEGMENT,IfcAlignment
168,IfcProduct,IfcProductDefinitionShape
169,IfcProduct,IfcRampAn
170,IfcProduct,IfcShapeRepresentation
171,IfcFacility,IfcRelContainedInSpatialStructure
172,IfcFacility,IfcTunnel
173,IfcFacility,IfcTransportElement
174,IfcBuilding,IfcSpatialStructureElements
175,IfcBuilding,IfcRootDescription
176,IfcBuilding,IfcRootDescription
177,IfcBuilding,IfcExternalSpatialElement
178,IfcBuilding,IfcExternalSpatialElement
179,IfcBuilding,IfcBuiltSystem
180,IfcBuilding,IfcCovering
181,IfcBuilding,IfcCurtainWall
182,IfcBuilding,IfcRoof
183,IfcBuilding,IfcSlab
184,IfcBuilding,IfcRelAssignsToProductHISTORY
185,IfcSpace.INTERNAL,IfcBuildingNOTE
186,IfcSpace.INTERNAL,IfcStructuralLoadResourceThe
187,IfcAlarm.LIGHT,IfcGeographicElementsNOTE
188,IfcAlarm.LIGHT,IfcWindowStandardCase
189,IfcSensor,IfcDistributionElement
190,IfcGrid,IfcGrid
191,IfcOpeningElement.RECESS,IfcOpeningElement
192,IfcVoidingFeature.HOLE,IfcOpeningElement
193,IfcSlab,IfcRelVoidsElement
194,IfcSlab,IfcRelVoidsElement
195,IfcSlab,IfcMaterialLayerSetUsage
196,IfcColumn.PILASTER,IfcProjectionElement
197,IfcReferent.POSITION,IfcSite
198,IfcSite,IfcSpatialStructureElements
199,IfcFlowInstrument.COMBINED,IfcRelSpaceBoundary
200,IfcCovering.FLOORING,IfcSpaceElevationWithFlooring
201,IfcZone,IfcSpatialZone
202,IfcZone,IfcRelReferencedInSpatialStructure
203,IfcZone,IfcRelReferencedInSpatialStructure
204,IfcBridge,IfcBridge
205,IfcRailway,IfcRailway
206,IfcRoad,IfcRoad
207,IfcTask.MOVE,IfcTransportElement
208,IfcTransportElement.ELEVATOR,IfcDiscreteAccessory
209,IfcReferent.BOUNDARY,IfcVirtualElement
210,IfcReferent.BOUNDARY,IfcArbitraryProfileDefWithVoids
211,IfcReferent.BOUNDARY,IfcCurtainWall
212,IfcVirtualElement.CLEARANCE,IfcRelSpaceBoundary
213,IfcVirtualElement.CLEARANCE,IfcBuildingElementProxy
214,IfcGeotechnicalStratum.SOLID,IfcArbitraryProfileDef
215,IfcPile.SUPPORT,IfcAttDrivenProfileDef
216,IfcWall.STANDARD,IfcExternalReferenceItemReference
217,IfcWall.STANDARD,IfcProject
218,IfcWall.STANDARD,IfcProject
219,IfcWall.STANDARD,IfcVoidingFeature
220,IfcBeam,IfcMaterialProfileSetUsage
221,IfcBeam,IfcStructuralCurveMember
222,IfcMember,IfcBeamStandardCase
223,IfcMember,IfcBeam
224,IfcMember,IfcMaterialProfileSetUsage
225,IfcMember,IfcStructuralActivityTopology
226,IfcMember,IfcStructuralCurveReaction
227,IfcMember,IfcStructuralActivityTopology
228,IfcColumn,IfcMaterialProfileSetUsage
229,IfcColumn,IfcStructuralCurveMember
230,IfcVibrationIsolator.BASE,IfcColumnStandardCase
231,IfcDoor,IfcSpatialElement
232,IfcDoor,IfcRelFillsElement
233,IfcDoor,IfcRelAggregates
234,IfcDoor,IfcOpeningElement
235,IfcDoor,IfcOpening
236,IfcDoor,IfcOpening
237,IfcSystemFurnitureElement.PANEL,IfcDoor
238,IfcSystemFurnitureElement.PANEL,IfcWindow
239,IfcOpeningElement.OPENING,IfcDoorthe
240,IfcOpeningElement.OPENING,IfcDoorLiningProperties
241,IfcOpeningElement.OPENING,IfcWindowthe
242,IfcOpeningElement.OPENING,IfcWindowLiningProperties
243,IfcPlate,IfcPlate
244,IfcPlate,IfcOpeningElement
245,IfcPlate,IfcRelVoidsElement
246,IfcPlate,IfcMaterialLayerSetUsage
247,IfcPlate,IfcStructuralSurfaceMember
248,IfcSlab.FLOOR,IfcRamp
249,IfcSlab.FLOOR,IfcOpeningElement
250,IfcSlab.FLOOR,IfcStair
251,IfcRamp,IfcRamp
252,IfcRamp,IfcRelAggregates
253,IfcRamp,IfcRelAggregatesRelatedObjectsAn
254,IfcRoof,IfcRoof
255,IfcRoof,IfcRelAggregates
256,IfcRoof,IfcSlab
257,IfcStair,IfcStair
258,IfcStair,IfcRelAggregates
259,IfcStair,IfcRelAggregatesRelatedObjects
260,IfcRampFlight.STRAIGHT,IfcStairFlightTreadLength
261,IfcRampFlight.STRAIGHT,IfcStairFlightTreadLength
262,IfcRampFlight.STRAIGHT,IfcElementComponent
263,IfcRampFlight.STRAIGHT,IfcElement
264,IfcWall,IfcOpeningElement
265,IfcWall,IfcRelVoidsElement
266,IfcWall,IfcStructuralMember
267,IfcWall,IfcRelAggregates
268,IfcWall,IfcMaterialLayerSetUsage
269,IfcWall,IfcFooting
270,IfcWall,IfcRelAggregates
271,IfcWall,IfcMaterialLayerSet
272,IfcReinforcingBar.MAIN,IfcMaterialLayerSetUsage
273,IfcWindow,IfcSpatialElement
274,IfcWindow,IfcRelFillsElement
275,IfcWindow,IfcRelAggregates
