,French_Raw,French_Code,SoldAfterDays,CountEntity,French_Code_Parent,Code,Title,Rank_SoldAfterDays,Rank_CountEntity,Score
314,plate,IfcPlate,173.33333333333334,12,IfcPlate,,,61.0,71.0,132.0
266,Prefabricated balconies,Pr_20_65_50_65,146.85714285714286,7,Pr_20_65,Pr_20_65,Prefabricated buildings and structures,33.0,102.0,135.0
32,cable,IfcDistributionPort.CABLE,240.31578947368422,38,IfcDistributionPort.CABLE,,,108.0,28.0,136.0
155,lighting,IfcSpatialZone.LIGHTING,179.0,13,IfcSpatialZone.LIGHTING,,,70.0,66.0,136.0
22,Soap dispensers,Pr_40_70_22_81,199.61111111111111,18,Pr_40_70,Pr_40_70,Equipment,89.0,48.0,137.0
393,discrete  accessory,IfcDiscreteAccessory,194.0,15,IfcDiscreteAccessory,,,80.0,58.0,138.0
82,Pedestal washbasins,Pr_40_20_96_63,197.88235294117646,17,Pr_40_20,Pr_40_20,Sanitary fittings and accessories,87.0,51.0,138.0
51,chute conveyor,IfcConveyorSegment.CHUTECONVEYOR,176.5,12,IfcConveyorSegment.CHUTECONVEYOR,,,67.0,71.0,138.0
423,external,IfcExternalSpatialElement.EXTERNAL,143.0,6,IfcExternalSpatialElement.EXTERNAL,,,29.0,113.0,142.0
99,Recessed luminaires,Pr_70_70_48_71,221.5,24,Pr_70_70,Pr_70_70,Power and lighting outlet products,103.0,39.0,142.0
3,Glass fins,Pr_25_71_33_34,190.15384615384616,13,Pr_25_71,Pr_25_71,"Rigid board, panel, sheet and sectional products",77.0,66.0,143.0
10,alarm,IfcAlarm,244.17241379310346,29,IfcAlarm,,,109.0,34.0,143.0
55,miter,IfcVoidingFeature.MITER,209.3684210526316,19,IfcVoidingFeature.MITER,,,98.0,47.0,145.0
243,Gratings,Pr_25_96_30,159.0,7,Pr_25_96,Pr_25_96,Grid and grating skin products,43.0,102.0,145.0
68,Coaxial cables,Pr_65_70_15_13,176.4,10,Pr_65_70,Pr_65_70,"Cables, conductors and fittings products",66.0,79.0,145.0
90,Suspended luminaires,Pr_70_70_48_86,230.3913043478261,23,Pr_70_70,Pr_70_70,Power and lighting outlet products,106.0,40.0,146.0
94,Water flumes,Pr_40_30_86_78,159.14285714285714,7,Pr_40_30,Pr_40_30,Fittings,44.0,102.0,146.0
161,Projectors,Pr_40_70_67,163.0,7,Pr_40_70,Pr_40_70,Equipment,46.0,102.0,148.0
77,diverting,IfcValve.DIVERTING,206.75,16,IfcValve.DIVERTING,,,95.0,55.0,150.0
31,Vanity and washroom furniture,Pr_40_20_76_95,156.5,6,Pr_40_20,Pr_40_20,Sanitary fittings and accessories,38.0,113.0,151.0
148,Concealed hinges,Pr_30_36_36_15,200.5,14,Pr_30_36,Pr_30_36,Hardware products,91.0,61.0,152.0
34,bollard,IfcMooringDevice.BOLLARD,184.6,10,IfcMooringDevice.BOLLARD,,,74.0,79.0,153.0
37,dera iler,IfcTrackElement.DERAILER,204.0,14,IfcTrackElement.DERAILER,,,92.0,61.0,153.0
116,Metal casement putties,Pr_30_31_68_51,176.66666666666666,9,Pr_30_31,Pr_30_31,Formless openings products,68.0,89.0,157.0
260,Escalators,Pr_65_80_28_21,175.375,8,Pr_65_80,Pr_65_80,Transport distribution products,63.0,94.0,157.0
176,Whiteboards,Pr_40_30_25_96,163.5,6,Pr_40_30,Pr_40_30,Fittings,48.0,113.0,161.0
100,shower,IfcSanitaryTerminal.SHOWER,251.05882352941177,17,IfcSanitaryTerminal.SHOWER,,,112.0,51.0,163.0
281,basin,IfcTank.BASIN,216.69230769230768,13,IfcTank.BASIN,,,101.0,66.0,167.0
141,Acoustic duct linings,Pr_65_67_78_02,205.2,10,Pr_65_67,Pr_65_67,Air and fume distribution products,93.0,79.0,172.0
14,camera,IfcAudioVisualAppliance.CAMERA,261.35714285714283,14,IfcAudioVisualAppliance.CAMERA,,,113.0,61.0,174.0
390,energy conversion  device,IfcEnergyConversionDevice,194.0,7,IfcEnergyConversionDevice,,,80.0,102.0,182.0
54,Wood doorsets,Pr_30_59_24_97,321.61538461538464,13,Pr_30_59,Pr_30_59,Openings and opening component products,117.0,66.0,183.0
128,Plaques,Pr_40_10_77_63,278.54545454545456,11,Pr_40_10,Pr_40_10,Signage products,116.0,73.0,189.0
43,Metal sways,Pr_20_29_87_52,248.6,10,Pr_20_29,Pr_20_29,Fastener products,111.0,79.0,190.0
84,terrain,IfcGeographicElement.TERRAIN,208.625,8,IfcGeographicElement.TERRAIN,,,97.0,94.0,191.0
13,Garage door holders,Pr_30_36_59_32,226.77777777777777,9,Pr_30_36,Pr_30_36,Hardware products,104.0,89.0,193.0
303,thermal,IfcProtectiveDeviceTrippingUnit.THERMAL,209.42857142857142,7,IfcProtectiveDeviceTrippingUnit.THERMAL,,,99.0,102.0,201.0
127,balustrade,IfcRailing.BALUSTRADE,275.55555555555554,9,IfcRailing.BALUSTRADE,,,114.0,89.0,203.0
153,elevator,IfcTransportElement.ELEVATOR,247.375,8,IfcTransportElement.ELEVATOR,,,110.0,94.0,204.0
76,Sample coolers,Pr_65_55_84_75,227.42857142857142,7,Pr_65_55,Pr_65_55,Liquid and gas distribution products,105.0,102.0,207.0
46,Metal armouring grilles,Pr_25_96_35_53,237.0,7,Pr_25_96,Pr_25_96,Grid and grating skin products,107.0,102.0,209.0
112,thermostat,IfcUnitaryControlElement.THERMOSTAT,277.5,8,IfcUnitaryControlElement.THERMOSTAT,,,115.0,94.0,209.0
105,water,IfcBoiler.WATER,220.16666666666666,6,IfcBoiler.WATER,,,102.0,113.0,215.0
108,Multistage pumps,Pr_65_53_86_55,323.7142857142857,7,Pr_65_53,Pr_65_53,Pump products,118.0,102.0,220.0
177,Extender cables,Pr_65_70_50_28,443.85714285714283,7,Pr_65_70,Pr_65_70,"Cables, conductors and fittings products",123.0,102.0,225.0
61,Aluminium doorsets,Pr_30_59_24_02,326.0,6,Pr_30_59,Pr_30_59,Openings and opening component products,119.0,113.0,232.0
270,Built-in gas hobs,Pr_40_70_24_09,332.0,6,Pr_40_70,Pr_40_70,Equipment,120.0,113.0,233.0
73,airconditioning unit,IfcUnitaryEquipment.AIRCONDITIONINGUNIT,356.6666666666667,6,IfcUnitaryEquipment.AIRCONDITIONINGUNIT,,,121.0,113.0,234.0
7,Metal gate surrounds,Pr_30_59_33_52,398.0,6,Pr_30_59,Pr_30_59,Openings and opening component products,122.0,113.0,235.0
