,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
1660,Porte double manuelle,0.0,Encaustic,Double slips,1.0,142.0,['92f5c97d-001a-45fd-b0dd-468461f969c1.jpeg'],Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
1663,Porte double manuelle,120.0,Encaustic,Double slips,1.0,91.0,['6801f83d-4319-49df-a996-72254da47f65.jpg'],Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
1678,Porte double manuelle,0.0,Encaustic,Double slips,1.0,64.0,['6a99c069-408d-4cb7-958b-8370c7030a8b.jpeg'],Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
1688,Porte double manuelle,0.0,Encaustic,Double slips,1.0,142.0,['0e0357ae-a74d-480b-9594-b577057e0d7e.jpeg'],Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
1694,Porte double manuelle,80.0,Encaustic,Double slips,1.0,78.0,['4e4a59ad-7d19-47ea-a31a-3537775283a1.jpeg'],Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
1695,Porte double manuelle,0.0,Encaustic,Double slips,1.0,142.0,['99c75923-8ad7-41b9-868d-32e16484c24a.jpeg'],Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
1697,Porte double manuelle,55.0,Encaustic,Double slips,0.0,326.0,['f3be7906-9d92-480a-956f-8a3f40bd9774.jpeg'],Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
1750,Porte double manuelle,0.0,Encaustic,Double slips,1.0,142.0,['1cb7e3ab-d146-44cd-9b37-3715c823dec5.jpeg'],Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
1787,Porte double manuelle,0.0,Encaustic,Double slips,1.0,142.0,['9b63fa06-3cd7-4d57-9341-a3834b747af6.jpeg'],Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
1850,Porte double manuelle,0.0,Encaustic,Double slips,1.0,142.0,['7d9d37c4-d5fd-4e32-ab3b-bd309fc23def.jpeg'],Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
1975,Porte double manuelle,80.0,Encaustic,Double slips,1.0,45.0,"['cbbb83fa-b872-4a52-8510-724ec7adfd37.jpeg', '7503aa57-eda1-4516-b331-2e5a6be6fdb8.jpeg']",Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
2063,Porte double manuelle,80.0,Encaustic,Double slips,1.0,45.0,['bf530cf4-b0d0-47a0-add1-b3fc8f178739.jpeg'],Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
2133,Porte double manuelle,0.0,Encaustic,Double slips,1.0,142.0,['476d5b77-a234-4ec7-b3d0-ec724adba53b.jpeg'],Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
2182,Porte double manuelle,80.0,Encaustic,Double slips,1.0,102.0,"['e5b37f69-f0b5-4055-be1b-1cd9ea9aa48c.jpeg', 'c301afec-8a4e-4727-902b-9da35caf3349.jpeg']",Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
