,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
762,Etagère murale,22.0,Decorative aggregates,Murals,1.0,313.0,"['4980fa78-7234-4e0c-ad79-a056d5dd1d7d.jpeg', '10f2bc35-ff6c-4b98-8294-f3c1af727a2b.jpeg', '72204caf-1e15-442f-8dd5-be98b8dea23b.jpeg', 'b54a1cdc-fa82-478d-839c-ac5f92c73680.jpeg', 'c5065500-14bd-4b9e-925c-ea26e136dced.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
779,Dérouleur mural,6.0,Loose surfacing decorative aggregates,Murals,1.0,398.0,['4164584a-4b13-46a6-9b58-84c2bc57d66d.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
934,Applique murale,10.0,Decorative aggregates,Murals,1.0,216.0,['38ede1c4-6261-49cd-8432-fa53436ed703.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
935,Applique murale,22.0,Decorative aggregates,Murals,1.0,224.0,"['0ea4db46-2b51-4685-a79d-6dc52e24f800.jpeg', '3c531101-2672-499a-878d-cf32c70a75bf.jpeg', '337aa15f-94a7-4e47-9713-0a2b42bde29a.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
983,Applique murale,17.0,Decorative aggregates,Murals,1.0,224.0,['c6bbfa55-0b98-42a9-ab76-4f5ddec5377a.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
1080,Applique murale,22.0,Decorative aggregates,Murals,1.0,224.0,"['ec998716-c5e4-448d-8f4b-e5bafdd3f155.jpeg', 'e58eeae5-a429-4985-9fe4-43ad74cad32b.jpeg', '241f434b-da5a-4bf7-89f2-42273de6ced6.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
1109,Applique murale,35.0,Decorative aggregates,Murals,1.0,125.0,"['9053db93-2663-40ea-bb2e-24c7901f81bc.jpeg', '16a0a4f6-ef04-4dce-867a-09113cd89655.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
1155,Applique murale,35.0,Decorative aggregates,Murals,1.0,17.0,"['46db4094-add6-4ef3-b42b-17ebb726ac76.jpeg', 'dc6fe74a-3c84-40ba-a1dd-e2bca9385ec7.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
1298,Applique murale,20.0,Decorative aggregates,Murals,1.0,14.0,"['b71cd329-fb58-4844-ad1b-9b0dfc606669.jpg', '624626c1-d5fb-47bf-a300-0ed6a07f4437.jpg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
1300,Carreaux de faïence murale,45.0,Loose surfacing decorative aggregates,Murals,1.0,224.0,"['f38ba4fa-5d35-4865-8919-7793d0c91f09.jpeg', '22b2614e-671f-492b-9b29-87800557674e.jpeg', '9fefcf90-60e1-4390-9255-4c372fcf39df.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",,,
1334,Carreaux de faïence murale,10.0,Loose surfacing decorative aggregates,Murals,1.0,224.0,"['f71f84b3-196a-4e64-a3d3-42954c3aa4bf.jpeg', '72bf333b-9c22-4f54-a269-5d52f581b30e.jpeg', '1e9c5fcf-eae0-4ab0-8f25-6eb5cc3f6274.jpeg', 'f0d1d6e6-75f8-4811-a362-b5defe0830d5.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",,,
