,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
4195,Mitigeur,12.0,Pisé,Sedge,0.0,125.0,['dc9a1706-b7fb-4d8b-a2ce-f0fbb06626ea.jpg'],"Wall, Barriers, Pannels","Covering, Finish",Masonry walling units,,,
4275,.,35.0,Pisé,Sedge,0.0,131.0,"['476635b8-2a78-4dbe-88af-b56196bcf677.jpg', '7153a5ab-295a-40fc-b430-4fdefbca10f1.jpg', '0dbc6477-afd7-458e-85de-e89523068fa3.jpg']","Wall, Barriers, Pannels","Covering, Finish",Other,,,
4286,Douche/baignoire,30.0,Pisé,Sedge,0.0,125.0,['db32e624-9969-4426-83fa-7ab429e18383.jpg'],"Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",,,
4363,Mitigeur,12.0,Pisé,Sedge,0.0,125.0,"['7ccb2102-52b1-43c1-a108-7fe19c53a974.jpg', 'd5a2b6e4-c97f-452e-a7c5-d49bfe4275f6.jpg']","Wall, Barriers, Pannels","Covering, Finish",Masonry walling units,,,
5144,Verre,,Pisé,Sedge,1.0,0.0,"['https://materiuum.ch/wp-content/uploads/2023/01/2209-5079-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/01/2209-5079-b-600x800.jpg']","Wall, Barriers, Pannels","Covering, Finish",Other,,,
5187,Équerre,,Pisé,Sedge,1.0,0.0,"['https://materiuum.ch/wp-content/uploads/2023/01/2209-4989-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/01/2209-4989-b.jpg']","Wall, Barriers, Pannels","Covering, Finish",Furnishings,,,
5195,Mitigeur,,Pisé,Sedge,1.0,0.0,"['https://materiuum.ch/wp-content/uploads/2023/01/2209-5013-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/01/2209-5013-b-600x800.jpg']","Wall, Barriers, Pannels","Covering, Finish",Masonry walling units,,,
5216,Pavés,,Pisé,Sedge,1.0,0.0,['https://materiuum.ch/wp-content/uploads/2022/12/2206-4299-a-1.jpg'],"Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",,,
5602,Pissoir,,Pisé,Sedge,1.0,265.0,2601_1_570x570.jpg,"Wall, Barriers, Pannels","Floors, Ceiling",Sanitary fittings and accessories,67.0,36.0,10.0
5685,Stuhl,,Pisé,Sedge,1.0,18.0,,Furnishings,Furnishings,Furnishings,,,
