,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n,material_emb,French_Raw,French_Code,first_level,second_level,third_level
5196,5196,6304,6304,91426706-23ac-4c03-8fbc-4e2bbe905980,Luminaire suspendu petite puissance, Luminaire suspendu petite puissance,verygood,lighting_general_equipment,D.50.20.02.6,PARIS-8E-ARRONDISSEMENT,2023-03-24,65.0,65.0,0.0,"['0c08c400-6140-4b7c-bbdb-bf523839463e.png', '43cd7ab5-147b-4d79-b0a5-0135f35bf9d2.png', '308b7bed-428b-4c2d-aaed-243dbb7d5f3b.png']",used,0.0,2.0,8.0,8.0,2023-09-24,FR,0.0,184.0,,,,,"{'score': 0.40017130970954895, 'start': 19, 'end': 36, 'answer': ' petite puissance'}",,,,,,,,,,,,,,,,,,,,Luminaire suspendu petite puissance,,, petite puissance,Sitka spruce,Pendant luminaires,Pr_70_70_48_62,Technical elements,Other,Power and lighting outlet products
5254,5254,6364,6364,a8804e3f-daa1-4e8a-aea4-354f498ad5fa,Dalle luminaire, Dalle luminaire,correct,lighting_general_equipment,D.50.20.02.3,PARIS-8E-ARRONDISSEMENT,2023-03-24,65.0,65.0,0.0,"['d81fe47d-4199-4384-a77d-f5d4c3e905b4.jpeg', '5e401d02-db0e-4dca-ab3c-2a9235de3f57.jpeg']",used,228.68,21.2,4.0,4.0,2023-09-24,FR,0.0,184.0,,,,,"{'score': 0.06086931750178337, 'start': 1, 'end': 16, 'answer': 'Dalle luminaire'}",,,,,,,,,,,,,,,,,,,,Dalle luminaire,,,,Silt,Pendant luminaires,Pr_70_70_48_62,Openings,Other,"Lighting columns, brackets and bollards"
5273,5273,6385,6385,ae9d054a-d67e-4fc9-8c81-cd4adc4e2cfb,Dalle luminaire, Dalle luminaire. plafonnier encastré LED,correct,lighting_general_equipment,D.50.20.02.3,PARIS-8E-ARRONDISSEMENT,2023-03-24,33.0,33.0,0.0,['dfb530bf-27d9-44ac-a761-1a94194d661b.jpeg'],used,228.68,21.2,10.0,10.0,2023-09-24,FR,0.0,184.0,,,,,"{'score': 0.0018543608020991087, 'start': 17, 'end': 41, 'answer': ' plafonnier encastré LED'}",,,,,,,,,,,,,,,,,,,,,Dalle luminaire.,,,Silt,Pendant luminaires,Pr_70_70_48_62,Openings,Other,"Lighting columns, brackets and bollards"
5274,5274,6386,6386,af3597f6-cb99-49f8-ad9c-35cf5398bdb7,Dalle luminaire,Dalle luminaire 4 néons . Dalle luminaire,verygood,lighting_general_equipment,D.50.20.02.3,LA MADELEINE,2023-03-22,14.0,14.0,0.0,"['6af792f8-5662-4a03-a0f0-8c65f7b5f7d3.jpeg', 'fceff34b-c3b0-439e-bff0-51622d923f38.jpeg']",used,228.68,21.2,63.0,63.0,2023-09-24,FR,0.0,186.0,,,,,"{'score': 0.0006857865955680609, 'start': 0, 'end': 25, 'answer': 'Dalle luminaire 4 néons .'}",,,,,,,,,,,,,,,,,,,,,,, 4 néons,Silt,Pendant luminaires,Pr_70_70_48_62,Openings,Other,"Lighting columns, brackets and bollards"
5361,5361,6475,6475,cad22ea1-c99b-43f1-821f-46f99660dfa3,Dalle luminaire,Dalle luminaire de faux plafond,correct,lighting_general_equipment,D.50.20.02.3,ISSY-LES-MOULINEAUX,2023-03-31,15.0,15.0,0.0,"['269428cd-bffc-442e-b543-e6e297c3951a1680255197430-422baec6-c434-4bde-9238-cd08a34a01c5.jpeg', '5c6ef286-563d-4f5e-85ab-9d345b74158c1680255197430-e45dfa90-96da-400a-b1ab-85173481b829.jpeg']",used,228.68,21.2,114.0,114.0,2023-09-24,FR,0.0,177.0,,,,,"{'score': 0.0033740983344614506, 'start': 0, 'end': 31, 'answer': 'Dalle luminaire de faux plafond'}",,,,,,,,,,,,,,,,,,,,Dalle luminaire de faux plafond,,,,Silt,Pendant luminaires,Pr_70_70_48_62,Openings,Other,"Lighting columns, brackets and bollards"
5407,5407,6524,6524,d890ab6f-0800-4536-97c6-37fa329267cf,Dalle de faux plafond,Dalle de faux plafond,verygood,gypsum_wallboard_ceiling_finishes,C.30.30.01.2,ISSY-LES-MOULINEAUX,2023-03-31,6.0,6.0,0.0,['511b0b11-610c-40ad-bd2f-30f427e274b91680255194608-555b1319-6d6d-41e8-b599-26fe669597d7.jpeg'],used,0.0,8.01,820.0,820.0,2023-09-24,FR,0.0,177.0,,,,,"{'score': 0.004235041793435812, 'start': 0, 'end': 21, 'answer': 'Dalle de faux plafond'}",,,,,,,,,,,,,,,,,,,,Dalle de faux plafond,Dalle de faux plafond,,,Silt,Pendant luminaires,Pr_70_70_48_62,"Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units
5461,5461,6583,6583,f1ddeafe-a464-473d-a9ae-a55d6152ee69,Dalle luminaire, Dalle luminaire carrée,verygood,lighting_general_equipment,D.50.20.02.3,PARIS-8E-ARRONDISSEMENT,2023-03-24,33.0,33.0,0.0,['c253411a-50c6-40de-b4dc-41908e935424.png'],used,228.68,21.2,4.0,4.0,2023-09-24,FR,0.0,184.0,,,,,"{'score': 0.013824006542563438, 'start': 1, 'end': 23, 'answer': 'Dalle luminaire carrée'}",,,,,,,,,,,,,,,,,,,,Dalle luminaire carrée,,,,Silt,Pendant luminaires,Pr_70_70_48_62,Openings,Other,"Lighting columns, brackets and bollards"
5557,5557,6687,6687,3115c55e-d3db-4950-96ca-70fc9892adb5,Dalle de faux plafond, Perforé / type lame / type maille en Aluminium,correct,gypsum_wallboard_ceiling_finishes,C.30.30.01.1b,PARIS-13E-ARRONDISSEMENT,2023-02-27,12.0,12.0,0.0,"['539e8de8-2b12-4f8e-ab46-60a1e9f5f5df.jpeg', 'e683e442-0fbd-49e7-8ece-955042caa0bf.jpeg']",used,24.05,3.5,7551.0,7551.0,2023-09-24,FR,0.0,209.0,,,,,"{'score': 1.4928904420230538e-05, 'start': 1, 'end': 47, 'answer': 'Perforé / type lame / type maille en Aluminium'}",,,,,,,,,,,,,,,,,,,,, Aluminium,,,Silt,Pendant luminaires,Pr_70_70_48_62,"Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units
5562,5562,6692,6692,344917ee-74a5-4a3f-b753-a2cae80f3aa1,Dalle de faux plafond,Faux plafond en laine de roche format carré 60x60 noir,correct,gypsum_wallboard_ceiling_finishes,C.30.30.01.1g,PARIS-13E-ARRONDISSEMENT,2023-02-27,6.0,6.0,0.0,"['43e13502-2ff3-40bc-bfff-cd7f501a70c4.jpeg', 'b2ad35f2-3d6e-44fa-b853-10dbb2bbe726.jpeg']",used,4.49,2.2,16.0,16.0,2023-09-24,FR,0.0,209.0,,,,,"{'score': 7.520212966483086e-05, 'start': 0, 'end': 30, 'answer': 'Faux plafond en laine de roche'}",,,,,,,,,,,,,,,,,,,,Faux plafond, laine de roche,,,Silt,Pendant luminaires,Pr_70_70_48_62,"Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units
5566,5566,6696,6696,383ce551-7e8e-415a-ab7c-4040e7ca5d30,Dalle luminaire, Dalle luminaire format rectangulaire  pour faux plafond  LED,correct,lighting_general_equipment,D.50.20.02.3,PARIS-13E-ARRONDISSEMENT,2023-02-27,20.0,20.0,0.0,"['b14860a1-bee2-4b99-9e84-df19aa6ecb3d.jpeg', '814a87cd-8e53-4886-82a1-93f8547f5c69.jpeg']",used,228.68,21.2,7.0,7.0,2023-09-24,FR,0.0,209.0,,,,,"{'score': 0.0008481175755150616, 'start': 1, 'end': 61, 'answer': 'Dalle luminaire format rectangulaire  pour faux plafond  LED'}",,,,,,,,,,,,,,,,,,,,Dalle luminaire,Dalle,,,Silt,Pendant luminaires,Pr_70_70_48_62,Openings,Other,"Lighting columns, brackets and bollards"
