,Name,URL,Price,Business,Category,Subcategory,Country,Location,Description,Dimensions,Age,ItemID,SellerID,SellersStockID,DateOfListing,Imagefiles,LastUpOn
48,Reclaimed Garden Antique Hand Carved Solid Stone Outdoor Bird Bath,https://www.salvoweb.com/35637-reclaimed-garden-antique-hand-carved-solid-stone-outdoor-bird-bath,£ 865  ,UK Architectural Antiques Ltd,Antique & Reclaimed,Garden,UK,UK > Staffordshire,,,,,,,,,2023-04-01
49,Victorian Old Original Outdoor Copper Garden Planter / Pot,https://www.salvoweb.com/35635-victorian-old-original-outdoor-copper-garden-planter-pot,£ 775  ,UK Architectural Antiques Ltd,Antique & Reclaimed,Garden,UK,UK > Staffordshire,,,,,,,,,2023-06-11
50,Reclaimed Antique Cast Iron Original Bedroom Fireplace,https://www.salvoweb.com/35634-reclaimed-antique-cast-iron-original-bedroom-fireplace,£ 895  ,UK Architectural Antiques Ltd,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Staffordshire,,,,,,,,,2023-05-02
51,Reclaimed Antique Brass Andirons | Firedogs,https://www.salvoweb.com/35623-reclaimed-antique-brass-andirons-firedogs,£ 740  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,,,,,,,,,2023-05-09
52,Reclaimed Cast Iron Fire Basket,https://www.salvoweb.com/35621-reclaimed-cast-iron-fire-basket,£ 450  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,,,,,,,,,2023-04-29
53,Upcycled Antique Victorian Sash Window Mirror,https://www.salvoweb.com/35620-upcycled-antique-victorian-sash-window-mirror,£ 540  ,Architectural Forum,Antique & Reclaimed,Furniture & Mirrors,UK,UK > Hertfordshire,,,,,,,,,2023-06-11
54,Reclaimed Victorian Style Arched Fireplace Insert,https://www.salvoweb.com/35619-reclaimed-victorian-style-arched-fireplace-insert,£ 840  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,,,,,,,,,2023-07-02
55,Antique Reclaimed Victorian 4 Panel Door - 198cm x 75.5cm,https://www.salvoweb.com/35617-antique-reclaimed-victorian-4-panel-door-198cm-x-755cm,£ 168  ,Architectural Forum,Antique & Reclaimed,Doors & Handles,UK,UK > Hertfordshire,,,,,,,,,2023-07-14
56,Antique Victorian Cast Iron Combination Fireplace,https://www.salvoweb.com/35614-antique-victorian-cast-iron-combination-fireplace,£ 840  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,,,,,,,,,2023-06-22
57,Original Old Antique Cast Iron Combination Bedroom Fireplace,https://www.salvoweb.com/35610-original-old-antique-cast-iron-combination-bedroom-fireplace,£ 895  ,UK Architectural Antiques Ltd,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Staffordshire,,,,,,,,,2023-04-21
58,Original Reclaimed Antique Cast Iron Bedroom Fireplace,https://www.salvoweb.com/35609-original-reclaimed-antique-cast-iron-bedroom-fireplace,£ 895  ,UK Architectural Antiques Ltd,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Staffordshire,,,,,,,,,2023-07-21
59,Original Reclaimed Antique Reclaimed Cast Iron Bedroom Fireplace,https://www.salvoweb.com/35602-original-reclaimed-antique-reclaimed-cast-iron-bedroom-fireplace,£ 895  ,UK Architectural Antiques Ltd,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Staffordshire,,,,,,,,,2023-07-16
60,Original Reclaimed Antique Cast Iron The Primrose Bedroom Fireplace,https://www.salvoweb.com/35601-original-reclaimed-antique-cast-iron-the-primrose-bedroom-fireplace,£ 895  ,UK Architectural Antiques Ltd,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Staffordshire,,,,,,,,,2023-05-20
61,Antique Reclaimed Cast Iron Original Decorative Bedroom Fireplace,https://www.salvoweb.com/35586-antique-reclaimed-cast-iron-original-decorative-bedroom-fireplace,£ 895  ,UK Architectural Antiques Ltd,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Staffordshire,,,,,,,,,2023-05-17
62,Antique Victorian Cast Iron Original Combination Bedroom Fireplace,https://www.salvoweb.com/35585-antique-victorian-cast-iron-original-combination-bedroom-fireplace,£ 895  ,UK Architectural Antiques Ltd,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Staffordshire,,,,,,,,,2023-05-15
63,Antique Original Cast Iron Original Combination Fireplace,https://www.salvoweb.com/35563-antique-original-cast-iron-original-combination-fireplace,£ 895  ,UK Architectural Antiques Ltd,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Staffordshire,,,,,,,,,2023-05-28
64,Original Antique Victorian Cast Iron Combination Fireplace,https://www.salvoweb.com/35560-original-antique-victorian-cast-iron-combination-fireplace,£ 895  ,UK Architectural Antiques Ltd,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Staffordshire,,,,,,,,,2023-08-16
65,Large Original Antique Oak Reclaimed Kitchen Dining Table,https://www.salvoweb.com/35549-large-original-antique-oak-reclaimed-kitchen-dining-table,"£ 1,895  ",UK Architectural Antiques Ltd,Antique & Reclaimed,Kitchen & Accessories,UK,UK > Staffordshire,,,,,,,,,2023-08-11
66,Large Original Antique Solid Oak Reclaimed Kitchen Dining Table,https://www.salvoweb.com/35548-large-original-antique-solid-oak-reclaimed-kitchen-dining-table,"£ 1,450  ",UK Architectural Antiques Ltd,Antique & Reclaimed,Kitchen & Accessories,UK,UK > Staffordshire,,,,,,,,,2023-05-17
67,Antique Original Wall Mounted Calling Bell With Cast Iron Frame,https://www.salvoweb.com/35540-antique-original-wall-mounted-calling-bell-with-cast-iron-frame,"£ 2,950  ",UK Architectural Antiques Ltd,Antique & Reclaimed,"Shop, Pub, Church, Telephone Boxes & Bygones",UK,UK > Staffordshire,,,,,,,,,2023-08-10
68,Reclaimed Outdoor/Indoor Cast Iron Safety Spiral Staircase With Balcony,https://www.salvoweb.com/35512-reclaimed-outdoorindoor-cast-iron-safety-spiral-staircase-with-balcony,"£ 3,350  ",UK Architectural Antiques Ltd,Antique & Reclaimed,Staircases Parts & Accessories,UK,UK > Staffordshire,,,,,,,,,2023-05-31
69,Original Reclaimed Oak Wall Mounted Church Hymn Board,https://www.salvoweb.com/35479-original-reclaimed-oak-wall-mounted-church-hymn-board,£ 395  ,UK Architectural Antiques Ltd,Antique & Reclaimed,"Shop, Pub, Church, Telephone Boxes & Bygones",UK,UK > Staffordshire,,,,,,,,,2023-04-11
70,Reclaimed Victorian Wall Mounted Oak Church Hymn Board,https://www.salvoweb.com/35478-reclaimed-victorian-wall-mounted-oak-church-hymn-board,£ 425  ,UK Architectural Antiques Ltd,Antique & Reclaimed,"Shop, Pub, Church, Telephone Boxes & Bygones",UK,UK > Staffordshire,,,,,,,,,2023-06-12
71,Antique Reclaimed Decorative Cast Iron Pavement Light by Hayward,https://www.salvoweb.com/35468-antique-reclaimed-decorative-cast-iron-pavement-light-by-hayward,"£ 1,295  ",UK Architectural Antiques Ltd,Antique & Reclaimed,Flooring,UK,UK > Staffordshire,,,,,,,,,2023-05-05
72,Reclaimed Lloyd Loom 2 Seater Sofa | Wicker Seating,https://www.salvoweb.com/35459-reclaimed-lloyd-loom-2-seater-sofa-wicker-seating,£ 300  ,Architectural Forum,Antique & Reclaimed,Furniture & Mirrors,UK,UK > Hertfordshire,,,,,,,,,2023-04-16
73,Antique Art Nouveau Cast Iron Fireplace Surround,https://www.salvoweb.com/35458-antique-art-nouveau-cast-iron-fireplace-surround,£ 3200  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,,,,,,,,,2023-03-30
74,Antique Ornate Cast Iron Fireplace Tidy | Betty | Ashpan Cover,https://www.salvoweb.com/35455-antique-ornate-cast-iron-fireplace-tidy-betty-ashpan-cover,£ 120  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,,,,,,,,,2023-07-25
75,Antique Victorian Carrara Marble Corbel Fireplace Surround,https://www.salvoweb.com/35451-antique-victorian-carrara-marble-corbel-fireplace-surround,£ 2200  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,,,,,,,,,2023-05-23
76,Antique Ashburton Marble Fireplace Fender | Grey Marble Curb Fender,https://www.salvoweb.com/35450-antique-ashburton-marble-fireplace-fender-grey-marble-curb-fender,£ 480  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,,,,,,,,,2023-07-10
77,Antique Original Old Cast Iron Floor Grids / Grilles,https://www.salvoweb.com/35445-antique-original-old-cast-iron-floor-grids-grilles,£ 165  ,UK Architectural Antiques Ltd,Antique & Reclaimed,Flooring,UK,UK > Staffordshire,,,,,,,,,2023-05-26
78,Antique Original Decorative Large Cast Iron Floor Grids / Grilles,https://www.salvoweb.com/35444-antique-original-decorative-large-cast-iron-floor-grids-grilles,£ 385  ,UK Architectural Antiques Ltd,Antique & Reclaimed,Flooring,UK,UK > Staffordshire,,,,,,,,,2023-06-25
79,English Original Carved Solid Stone Garden Trough,https://www.salvoweb.com/35441-english-original-carved-solid-stone-garden-trough,"£ 3,950  ",UK Architectural Antiques Ltd,Antique & Reclaimed,Garden,UK,UK > Staffordshire,,,,,,,,,2023-05-09
80,Antique Victorian Cast Iron Arched Fireplace Insert,https://www.salvoweb.com/35439-antique-victorian-cast-iron-arched-fireplace-insert,£ 1140  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,,,,,,,,,2023-08-21
81,Antique Victorian Cast Iron Neoclassical Fireplace Surround,https://www.salvoweb.com/35437-antique-victorian-cast-iron-neoclassical-fireplace-surround,£ 1800  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,,,,,,,,,2023-07-28
82,Antique Cast Iron Firedogs | Gooseneck Andirons,https://www.salvoweb.com/35432-antique-cast-iron-firedogs-gooseneck-andirons,£ 450  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,,,,,,,,,2023-08-24
83,Original Hand Cast Chadder & Co Polished Sussex Mirror,https://www.salvoweb.com/35376-original-hand-cast-chadder-co-polished-sussex-mirror,£ 395  ,UK Architectural Antiques Ltd,Antique & Reclaimed,Furniture & Mirrors,UK,UK > Staffordshire,,,,,,,,,2023-08-30
84,Antique Genuine Original Old Cast Iron Floor Grids / Grilles,https://www.salvoweb.com/35375-antique-genuine-original-old-cast-iron-floor-grids-grilles,£ 365  ,UK Architectural Antiques Ltd,Antique & Reclaimed,Flooring,UK,UK > Staffordshire,,,,,,,,,2023-08-22
85,Small Antique Original Genuine Cast Iron Floor Grids / Grilles,https://www.salvoweb.com/35374-small-antique-original-genuine-cast-iron-floor-grids-grilles,£ 85  ,UK Architectural Antiques Ltd,Antique & Reclaimed,Flooring,UK,UK > Staffordshire,,,,,,,,,2023-08-28
86,Reclaimed Old Pitch Pine Solid Internal Door - O,https://www.salvoweb.com/35363-reclaimed-old-pitch-pine-solid-internal-door-o,£ 99  ,UK Architectural Antiques Ltd,Antique & Reclaimed,Doors & Handles,UK,UK > Staffordshire,,,,,,,,,2023-06-18
