,Name,URL,Price,Business,Category,Subcategory,Country,Location,Description,Dimensions,Age,ItemID,SellerID,SellersStockID,DateOfListing,Imagefiles,LastUpOn
535,Antique Georgian Cast Iron Hob Grate | Manner of Robert Adam,https://www.salvoweb.com/36621-antique-georgian-cast-iron-hob-grate-manner-of-robert-adam,£ 1800  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,"A striking and rare fully restored register grate. Highly decorated with embellished reeded flanking the central grate towards a central floral design.The piece has been fully restored in-house and is ready for installation and use. The 3-bar integral basket can hold a bespoke gas kit, if you require one please contact us. Dimensions 43.5cm Tall X 71.5cm WideDimensions are approximate.",0.00 cm. x 0.00 cm. x 0.00 cm.,More than 50 years old,36621.0,10617.0,OHIO,2022-12-19,,2023-08-30
536,Antique Cast Iron Fireplace Surround,https://www.salvoweb.com/36616-antique-cast-iron-fireplace-surround,£ 1200  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,An antique cast iron fireplace surround with reeded jambs. The attractive piece is surmounted by a shelf with a wreath detailed centrepiece. The surround has been fully restored in-house and is ready for installation.  Dimensions:Shelf: 137cm wideOpening: 91cm Tall x 78cm Wide Overall height: 116.75cmDimensions are approximate,0.00 cm. x 0.00 cm. x 0.00 cm.,More than 50 years old,36616.0,10617.0,SHANNON,2022-12-16,,2023-08-28
537,Victorian Style Corbel Surround Made From Reclaimed Carrara Marble,https://www.salvoweb.com/36614-victorian-style-corbel-surround-made-from-reclaimed-carrara-marble,£ 1500  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,"Crafted from fine reclaimed Carrara marble,This Victorian style fireplace features elegant and beautifully carved corbels - a typical design motif of the period.The corbels surmount the simple jambs and support the mantel shelf. Dimensions Shelf: 142.5cm width x 23.5m depth Overall height: 110.5cm Opening: 91cm height x 89cm (maximum) WideJamb: 18cm Dimensions are approximate.",0.00 cm. x 0.00 cm. x 0.00 cm.,More than 50 years old,36614.0,10617.0,WANDA,2022-12-16,,2023-10-13
538,Antique Combination Fireplace With Vibrant Blue Tiles,https://www.salvoweb.com/36593-antique-combination-fireplace-with-vibrant-blue-tiles,£ 1320  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,"An Antique Victorian Fireplace with striking Blue TilesThe original Cast Iron all-in-one fireplace has a decorative border and ornate, deep-profile cast detailing throughout. An excellent example of Victorian design, the Fireplace has been teamed with vibrant blue embossed tiles which are complimented by blue and orange foliage spacer tiles. The piece has been fully restored and is ready to be installed - a bespoke gas unit can sit in the 3-bar integral basket should you require. Dimensions: Shelf: 109cm x 16cmHeight: 111cmDimensions are approximate.",0.00 cm. x 0.00 cm. x 0.00 cm.,More than 50 years old,36593.0,10617.0,JACKMAN,2022-12-15,,2023-10-15
539,Antique Art Nouveau Cast Iron Combination Fireplace,https://www.salvoweb.com/36578-antique-art-nouveau-cast-iron-combination-fireplace,£ 900  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,"An antique original Art Nouveau combination fireplace in cast iron.The original piece is adorned with floral motifs typical of the Art Nouveau movement both to the hood and main body.Fully restored and ready for installation, the integral basket can be used to burn fuel or adapted to accept gas. Dimensions Shelf: 103cm X 12.5cmOverall height: 107cmDimensions are Approximate",0.00 cm. x 0.00 cm. x 0.00 cm.,More than 50 years old,36578.0,10617.0,JETSON,2022-12-14,,2023-10-20
540,Reclaimed Mid-Century Pine Trestle Tables,https://www.salvoweb.com/36537-reclaimed-mid-century-pine-trestle-tables,£ 250  ,Architectural Forum,Antique & Reclaimed,Furniture & Mirrors,UK,UK > Hertfordshire,We currently have 4 of these pine trestle tables available.These charming reclaimed tables fold flat with hinged supports. The original mid-century tables offer a fold-away solution for those with limited space.Price is per table - images show the table TESS4 Dimensions 136.5cm Length x 66.5cm Wide Height 76.5cm Dimensions are approximate,0.00 cm. x 0.00 cm. x 0.00 cm.,More than 50 years old,36537.0,10617.0,TESS4,2022-12-06,,2023-10-08
541,Antique Victorian Arched Rouge Marble Fireplace Surround,https://www.salvoweb.com/36531-antique-victorian-arched-rouge-marble-fireplace-surround,£ 3200  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,"This original antique Victorian fireplace surround delivers a substantial original period feature piece.Large and imposing, the chimneypiece has been crafted from rich Rouge Royal marble with striking and contrasting natural markings and veins Typical of the Victorian period the piece has a central keystone.The main body has decorative thumbnail carvings to accentuate and compliment the large arched opening.A simple bevelled shelf completes the chimneypiece. Dimensions:Shelf: 183cm Wide x 30.5cm DeepOverall Height: 121.5cm Opening: 97cm Tall x 97cm WideDimensions are approximate",0.00 cm. x 0.00 cm. x 0.00 cm.,More than 50 years old,36531.0,10617.0,NODDY ARCHED,2022-12-06,,2023-09-12
542,Reclaimed Arched Oak Double Doors | 202.5cm x 108cm,https://www.salvoweb.com/36261-reclaimed-arched-oak-double-doors-2025cm-x-108cm,£ 1200  ,Architectural Forum,Antique & Reclaimed,Doors & Handles,UK,UK > Hertfordshire,An impressive set of arched double doors.Each Oak door is formed of 3 planks and 5 rows of stud work to the front.The reverse has the timber in a horizontal composition. Very robust and sturdy doors.202.5cm Tall x 108cm Wide 5.2 cm deep.Dimensions are approximate. ,,More than 50 years old,36261.0,10617.0,OLA5,2022-09-30,,2023-09-24
543,Antique Cast Iron Fireplace Surround,https://www.salvoweb.com/36260-antique-cast-iron-fireplace-surround,£ 2000  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,"An impressive original 19th-century fireplace made from cast iron. The surround has a simple and robust form, yet provides a deep-profile frame around the opening. A central motif rests under the cast iron shelf. The design exudes the timeless elegance of the period allowing the piece to work well with a plethora of inserts, baskets and stoves. The cast iron surround has been fully restored in-house and is ready for installation.Dimensions:Shelf: 152 x 20cmOpening: 90.5cm Wide x 95cm TallOverall Height: 124.5cmDimensions are approximate.",,More than 50 years old,36260.0,10617.0,CHARLIZE,2022-09-30,,2023-11-02
544,Antique Victorian Cast Iron Combination Fireplace,https://www.salvoweb.com/36254-antique-victorian-cast-iron-combination-fireplace,£ 720  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,Original antique Victorian cast iron combination fireplace.An integrated three bar fire basket is framed with a square opening and simplified foliage panels adorn the frieze and jambs and a sunbeam motif completes the curved hood. Roundels sit to each side below the shelf.A very attractive combination fireplace that demonstrates design motifs typical of the period. The modest size allows it to work well to smaller-scale rooms and chimney breasts such as a bedroom.Dimensions Shelf: 90.5cm W x 14.5cm D Overall Height 100cm Dimensions are approximate,,More than 50 years old,36254.0,10617.0,ARETHA,2022-09-30,,2023-09-10
545,Large & Impressive Antique Wrought Iron Gates,https://www.salvoweb.com/36253-large-impressive-antique-wrought-iron-gates,£ 7000  ,Architectural Forum,Antique & Reclaimed,Architectural Metalwork,UK,UK > Hertfordshire,"A stunning pair of antique entrance gates in wrought iron. The gates have two defensive parallel shield motifs, various ornate designs, scrollwork and a spherical finial on the top to secure closure.The imposing pair would certainly be well suited to a large, grand house in need of some strong, durable and impressive gates.Dimensions:308cm Tall X 258cm WideEach Gate is Approx 129cmDepth 3.5cmDimensions are approximate.",,More than 50 years old,36253.0,10617.0,RICHARDSON,2022-09-30,,2023-10-02
546,Antique Reclaimed Victorian 4 Panel Door - 209.5cm x 89cm,https://www.salvoweb.com/36252-antique-reclaimed-victorian-4-panel-door-2095cm-x-89cm,£ 168  ,Architectural Forum,Antique & Reclaimed,Doors & Handles,UK,UK > Hertfordshire,"An original 4-panel Victorian pine doorThis antique door is perfect for those wishing to install original period features to their Victorian property renovation.Used consistently through the Victorian period, four-panel doors were found in a multitude of dwellings from the humble terraced house to opulent mansions.Please note this listing is for a single door. The main image shows both front and reverse.Dimensions209.5cm x 89cm x 4.5cmDimensions are approximate",,More than 50 years old,36252.0,10617.0,DMA9,2022-09-30,,2023-10-05
547,Antique Globe Wernicke 3 Tier Barrister's Bookcase,https://www.salvoweb.com/36214-antique-globe-wernicke-3-tier-barristers-bookcase,£ 1200  ,Architectural Forum,Antique & Reclaimed,Furniture & Mirrors,UK,UK > Hertfordshire,"A fine example of a classic piece, this original Globe Wernicke Barrister's bookcase offers a high-quality, solid oak storage solution.It has three sections each having a glazed door that lifts and slides back using a brass handle. This wonderful Antique oak bookcase stands on a moulded plinth.Highly sort-after, Globe Wernicke are known for its quality and craftsmanship. The bookcases are iconic. They were first seen in The late 19th Century and were designed to store books or other office documents and were commonly seen in solicitors' offices, libraries or Schools in Britain. Still extremely collectable today, their unique design can house a large book collection and are quite a unique design.Dimensions Overall Height: 120cm  Overall Width: 86.5m Overall Depth: 30.5cmDimensions are approximate",,More than 50 years old,36214.0,10617.0,PICKLE,2022-09-23,,2023-10-24
548,Antique English Oak Plan Chest | 5 Drawers,https://www.salvoweb.com/36197-antique-english-oak-plan-chest-5-drawers,£ 1140  ,Architectural Forum,Antique & Reclaimed,Furniture & Mirrors,UK,UK > Hertfordshire,"Rich in patina, this antique English oak plan chest provides ample storage.Consists of 6 free-running large, very usable drawers and original brass hardware. The chest splits into three sections for ease of transportation. Dimensions Overall Height: 86.5cm Width: 93.5cm Depth 70.5cmDimensions are approximate.",,More than 50 years old,36197.0,10617.0,SPENCER,2022-09-22,,2023-10-07
549,Antique Late Victorian Rouge Royal Red Marble Fireplace Surround,https://www.salvoweb.com/36178-antique-late-victorian-rouge-royal-red-marble-fireplace-surround,£ 2200  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,"Crafted from striking Rogue Royal Red Marble, this original chimneypiece has been gently restored in house.This grand and imposing fireplace stands on substantial foot blocks, the top of each jamb is punctuated with black slate details and comes complete with a bevelled shelf. The surround offers an original period feature piece for an interior renovation.DimensionsShelf: 176cm Wide x 30cm DeepOverall Height: 116cmOpening: 92 High x 97cm WideLegs: 30cm Wide Dimensions are approximate",,More than 50 years old,36178.0,10617.0,CUTHBERT,2022-09-21,,2023-09-29
550,Reclaimed Crystal Chandelier | 10 Arm,https://www.salvoweb.com/36170-reclaimed-crystal-chandelier-10-arm,£ 1800  ,Architectural Forum,Antique & Reclaimed,Lighting,UK,UK > Hertfordshire,"Perfect form and dazzling cut glass, this antique chandelier is composed of scalloped droplets, cut glass bobeche trays, elements, and a central sphere drop.The traditional piece has an elegant tapering design with 10 arms. The cut crystal pieces deliver mesmerising light refractions of rainbow prisms.This chandelier is in working order and has been tested.95cm High x 80cm Wide.Dimensions are approximate",,More than 50 years old,36170.0,10617.0,IONA,2022-09-20,,2023-10-01
551,Reclaimed Mid-Century Teak Plank & Wrought Iron Bench,https://www.salvoweb.com/36162-reclaimed-mid-century-teak-plank-wrought-iron-bench,£ 750  ,Architectural Forum,Antique & Reclaimed,Furniture & Mirrors,UK,UK > Hertfordshire,This terrific teak bench has thick solid planks bearing fantastic patination.The reclaimed bench has a wrought iron base and distinctive mid-century form. The timber has rich markings and has been gently restored and waxed in-house. Dimensions: Overall: 198cm wide x 82cm tallHeight of seat: 43.5cmOverall Depth: 55cmDimensions are approximate. ,,More than 50 years old,36162.0,10617.0,ARIANA,2022-09-20,,2023-08-31
552,Carrara Marble Table with Industrial Iron Base,https://www.salvoweb.com/36158-carrara-marble-table-with-industrial-iron-base,£ 540  ,Architectural Forum,Antique & Reclaimed,Furniture & Mirrors,UK,UK > Hertfordshire,This unique piece is composed of an ornate iron Singer sewing machine base that supports a striking reclaimed Carrara marble top.The antique iron base delivers a unique table. Dimensions 110.5cm W x 60cm D x 75cm TDimensions are approximate,,More than 50 years old,36158.0,10617.0,SULLY,2022-09-20,,2023-10-26
553,Antique Slate Fireplace Surround With Corbels,https://www.salvoweb.com/35833-antique-slate-fireplace-surround-with-corbels,£ 1600  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,"The black slate surround delivers bold and striking form. The simple jambs have subtle thumbnail details that are echoed across the frieze. The elegant bevelled shelf rests upon carved corbels, a typical motif of the Victorian period.The use of black slate was used as a mark of respect to mourn the death of Queen Victoria.The original, antique piece has been gently restored in-house and can be viewed at our Hertfordshire warehouse. Please contact us for more details or your dimension requirementsDimensions Shelf 160cm W x 30cm D Overall Height: 123.5cm Opening: 93.5cm Width X 96.5cm TallWidth of Jamb: 26cm Dimensions are approximate",,More than 50 years old,35833.0,10617.0,ROCKSTAR,2022-07-23,,2023-09-20
554,Reclaimed Teak / Iroko Worktop 225cm X 65cm,https://www.salvoweb.com/35615-reclaimed-teak-iroko-worktop-225cm-x-65cm,£ 340  ,Architectural Forum,Antique & Reclaimed,Timber,UK,UK > Hertfordshire,"Reclaimed Teak and Iroko pieces This substantial reclaimed solid wood is ideal for kitchen worktops, tables or shelving or other upcycling projects.Each unique piece has wonderful markings and patina but with a light sanding, they can be restored to near perfect condition.All of our worktops are held at our warehouse in Ware, Hertfordshire. A visit is strongly recommended for your selection.  Dimensions225cm X 65cm X 2.8cmDimensions are approximate",,More than 50 years old,35615.0,10617.0,FRX26,2022-06-21,,2023-09-08
555,Long Mid-Century Mahogany Table with Blue Top (2 available),https://www.salvoweb.com/35613-long-mid-century-mahogany-table-with-blue-top-2-available,£ 1200  ,Architectural Forum,Antique & Reclaimed,Furniture & Mirrors,UK,UK > Hertfordshire,We have two of these attractive mahogany and blue leatherette inset tables available.Crafted from mahogany this original mid-century piece delivers a striking yet functional piece with a form typical of the period. the simple geometric lines complement the longer length table that would work as both a unique dining table or desk.Price is per table.Dimensions366cm X 74cm Tall X 76cm WideDimensions are approximate,,More than 50 years old,35613.0,10617.0,LMT1,2022-06-21,,2023-10-27
556,Reclaimed Cast Iron Fireback Lion & Unicorn Coat Arms,https://www.salvoweb.com/35454-reclaimed-cast-iron-fireback-lion-unicorn-coat-arms,£ 650  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,"Superb quality and a substantial piece, this wide cast iron Heraldic fireback has varied levels of relief work. Dated 1664 a lion and unicorn hold the Royal Coat of Arms.  Flankedby the initials C R, probably those of either Charles I or II.A very regal and intricate piece that would sit very well with a number of fireplace setups. Please note this is a very heavy and solid pieceDimensions 65cm W x 73cm HDimensions are approximate",,More than 50 years old,35454.0,10617.0,UNICORN,2022-06-07,,2023-09-04
557,Antique Cast Iron Ornate Fireplace Tidy with Finials | Betty | Ashpan Cover,https://www.salvoweb.com/35456-antique-cast-iron-ornate-fireplace-tidy-with-finials-betty-ashpan-cover,£ 130  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,Antique fireplace tidy with intricate detailing with cut-outs. The Tidy has been fully restored in-house and offers a very unique and interesting addition to a fireplace.  Dimensions:54.5cm Wide (base) x 32cm Tall (28.5 minus finials)Dimensions are approximate.,,More than 50 years old,35456.0,10617.0,LADY,2022-06-07,,2023-11-02
558,Antique Brass Lantern with Concave Glass,https://www.salvoweb.com/35457-antique-brass-lantern-with-concave-glass,£ 950  ,Architectural Forum,Antique & Reclaimed,Lighting,UK,UK > Hertfordshire,"A particularly fine traditional reclaimed brass lantern with concave glass.There are six light fixtures and six glass panels. The lantern has ornate detailing to the top and bottom. Please note: although the lights are in working order due to their reclaimed nature we always advise that they are tested by a professional before installation. DimensionsWidth 29cmHeight of lantern 63cm (up to the fixed hoop, not including chain)Dimensions are approximate",,More than 50 years old,35457.0,10617.0,LOVAGE,2022-06-07,,2023-09-16
559,Antique Ornate Georgian Cast Iron Hob Grate Insert,https://www.salvoweb.com/35460-antique-ornate-georgian-cast-iron-hob-grate-insert,£ 1500  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,"An extremely grand and beautiful antique Georgian hob grate insert.Adorned with cast iron floral motifs to the inner and outer elements of the insert, these charming flamboyant designs are typical of the period and are echoed throughout the piece including the backplate and the 3 bar integral basket.The hob grate is an exquisite example of Georgian design.Fully restored in-house, the piece is ready for installation and can hold a bespoke gas kit should you require one - please contact us for more details.Dimensions 81cm W x 91.5cm T Dimensions are approximate.",,More than 50 years old,35460.0,10617.0,CRACKER,2022-06-07,,2023-08-28
560,Antique Victorian Statuary & Sienna Marble Fireplace Surround,https://www.salvoweb.com/35453-antique-victorian-statuary-sienna-marble-fireplace-surround,£ 6500  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,"An impressive antique Victorian chimneypiece made from fine statuary and sienna marble.This large fireplace has intricate detailing to the frieze and jambs.Single florals can be seen on the panelled endblocks and a trio of flowerheads adorn the central linte. The fluted jambs have garlands of foliage set within panels. The white statuary marble is complemented by the striking Sienna marble which surrounds the opening, lays across the bottom of the frieze and frames the top of each footblock.The imposing fireplace would provide an original period feature for an interior renovation. Dimensions:Shelf: 184cm wide x 36cm deepOverall height: 125.5cm highOpening: 96.5cm wide x 102cm highJamb 30cm wide x 28cm deepDimensions are approximate.",,More than 50 years old,35453.0,10617.0,FIGARO,2022-06-07,,2023-09-05
561,Antique Victorian Polished Cast Iron Fireplace Surround,https://www.salvoweb.com/35435-antique-victorian-polished-cast-iron-fireplace-surround,£ 1200  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,"A very elegant piece, this original Victorian cast iron fireplace surround has been hand-polished to give a silver finish, accentuating the deep-profile, decorative fruit, swags and bows to the central frieze. A substantial shelf rests above.The fireplace has been gently restored in-house and is ready for installation. Dimensions: Shelf: 122cm wide x 17.5cm deep Overall height: 116cm Opening: 75cm wide x 91.5cm high Dimensions are approximate.",,More than 50 years old,35435.0,10617.0,MASTERCLASS,2022-06-07,,2023-09-08
562,Antique Georgian 2 Panel Door - 184cm x 72cm,https://www.salvoweb.com/35257-antique-georgian-2-panel-door-184cm-x-72cm,£ 140  ,Architectural Forum,Antique & Reclaimed,Doors & Handles,UK,UK > Hertfordshire,A solid pine Georgian two-panel door. Please note the main image shows both sides of the door. The listing is for 1 door only. The door is being sold in its current painted state. Dimensions  184cm x 72cm x 3cm D Dimensions are Approximate,,More than 50 years old,35257.0,10617.0,FAB31,2022-05-17,,2023-09-15
563,Antique Ornate French Gilded Brass Hall Lantern,https://www.salvoweb.com/35237-antique-ornate-french-gilded-brass-hall-lantern,£ 2500  ,Architectural Forum,Antique & Reclaimed,Lighting,UK,UK > Hertfordshire,"A particularly fine antique French Hall Lantern with ornate detailing throughout.The exquisite piece has glass panels and an ornate scrolling framework with five sectional tapering glass panels and is held within an ornately cast heavy-gauge scrolling framework with decorative floral and foliage embellishments and open scrolling top canopy.The piece comes with a chain and original ornate ceiling rose. The whole piece is well cast and of great large scale. The lantern has elegant scrollwork and decorative details including a clasp hand latch for the door. Wonderful original gilded patination makes this an attractive lighting source for a variety of interiors. Please note: although the lights are in working order due to their reclaimed nature we always advise that they are tested by a professional before installation.  DimensionsWidth 41cmHeight of lantern 72cm (up to the fixed hoop, not including chain)Dimensions are approximate",,More than 50 years old,35237.0,10617.0,EVELYN,2022-05-13,,2023-09-30
564,Pair of Reclaimed Brass Wall Lanterns,https://www.salvoweb.com/35234-pair-of-reclaimed-brass-wall-lanterns,£ 950  ,Architectural Forum,Antique & Reclaimed,Lighting,UK,UK > Hertfordshire,Pair of reclaimed brass wall lanterns. The substantial pieces each have a triple light fixture.Each piece has 3 glass panels  The lanterns offer a traditional and attractive lighting solution. Please note: although the lights are in working order due to their reclaimed nature we always advise that they are tested by a professional before installation.  Dimensions Overall Height: 51cm Width of Lantern: 24cm Depth: 27cmDimensions are approximate,,More than 50 years old,35234.0,10617.0,SUNBEAM,2022-05-13,,2023-10-10
565,Antique Reclaimed Large Brass Chandelier | 18 Arm,https://www.salvoweb.com/35235-antique-reclaimed-large-brass-chandelier-18-arm,£ 2500  ,Architectural Forum,Antique & Reclaimed,Lighting,UK,UK > Hertfordshire,"A large and impressive brass chandelier with two tiers that deliver 18 arms.The brass has excellent patination and each of the arms is adorned with a fish-like creature.This large chandelier is in the Flemish Baroque style, and features two tiers of arms with a large brass sphere and scrolling arms. Please note: although the lights are in working order due to their reclaimed nature we always advise that they are tested by a professional before installation. Dimensions 125cm W x 80 cm H (main body height not including chain)Dimensions are approximate",,More than 50 years old,35235.0,10617.0,VERBENA,2022-05-13,,2023-09-03
566,Antique Victorian Cast Iron Combination Fireplace,https://www.salvoweb.com/35168-antique-victorian-cast-iron-combination-fireplace,£ 775  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,"An original Antique Victorian combination fireplace in cast iron. A charming and very decorative original nineteenth-century fireplace that has been designed in the Aesthetic Movement style. The fireplace features natural motifs including flora and fauna, as well as geometric designs characteristic of the period. 

A delightful combination fireplace that would work well in a modest space. The decorative floral motifs, birds in mid-flight and butterflies, make this pretty fireplace a very attractive option for those looking to install original period features to a Victorian renovation.

The fireplace has been fully restored in-house and is ready for installation and use.

Dimensions
Shelf: 77.5cm L x 15cm D Overall Height: 95.5cm
Dimensions are approximate",15.00 cm. x 76.00 cm. x 96.00 cm.,More than 50 years old,35168.0,10617.0,CONSIDER,2022-05-07,,2023-11-03
567,Freemasonry Momenti Mori Banner,https://www.salvoweb.com/35161-freemasonry-momenti-mori-banner,£ 240  ,Architectural Forum,Antique & Reclaimed,"Various, Mixed, Misc And Other",UK,UK > Hertfordshire,"A curious vintage Freemasonry banner removed from the Masonic Lodge Headquarters in London. The banner is a heavy weight cotton fabric embroidered with a tree above a coffin and crossbones. Freemasonry symbols such as these represent mortality and would remind the Mason that from death springs the hope of everlasting life, or perhaps encourage contemplation of his remaining time on earth.Dimensions:170cm x 210cmDimensions are approximate.",,More than 50 years old,35161.0,10617.0,ZZ313,2022-05-07,,2023-10-08
568,Large Antique Victorian Partners Writing Table with Leather Top | On Castors,https://www.salvoweb.com/35120-large-antique-victorian-partners-writing-table-with-leather-top-on-castors,£ 2600  ,Architectural Forum,Antique & Reclaimed,Furniture & Mirrors,UK,UK > Hertfordshire,"A fine example of Victorian craftsmanship, this large table has been crafed from solid mahogany.The leather top has a decorative border around the whole perimeter of the table. Supported by 5 substantial (and removable) legs - beautifully reeded in the manner of Gillows - that have brass castors. A rare and impressive piece offering plenty of desk space.Dimensions:Overall: 78cm tall x 275cm long x 125cm deepDimensions are approximate.",,More than 50 years old,35120.0,10617.0,PARTNER,2022-04-30,,2023-09-29
569,Antique Victorian Slate Fireplace Surround With Corbels,https://www.salvoweb.com/35063-antique-victorian-slate-fireplace-surround-with-corbels,£ 2500  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,"An original Victorian fireplace surround crafted from slate with carved corbels.Beautifully carved corbels surmount the plain jambs and support the beveled edge shelf. This impressive and striking piece offers an attractive feature fireplace for interior living space and demonstrates fine Victorian craftsmanship.Gently restored to retain its integrity, this large-scale chimneypiece is a perfect option for those looking to install original period features to a Victorian property renovation.The surround has been photographed with a black slate hearth.Dimensions Shelf 178.5cm W x 31cm D Overall Height: 118cm Opening: 98cm Width X 94cm Tall Width of Jamb 30.5cmDimensions are approximate",,More than 50 years old,35063.0,10617.0,SHANE,2022-04-16,,2023-09-26
570,Reclaimed Cast Iron Lion Andirons | Firedogs for Fireplace,https://www.salvoweb.com/34990-reclaimed-cast-iron-lion-andirons-firedogs-for-fireplace,£ 450  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,"A pair of cast iron firedogs in the figure of Lions.The Firedogs deliver a grand and regal option as a support for a fireplace grate. We have various grate available in different styles and sizes that can be teamed with this pair. please contact us for more details.  Dimensions: 14,5cm W x 44 H x 41cm D Dimensions are approximate.",,More than 50 years old,34990.0,10617.0,HONEST,2022-04-09,,2023-09-24
571,Antique Cast Iron Firedogs | Gooseneck Andirons,https://www.salvoweb.com/34907-antique-cast-iron-firedogs-gooseneck-andirons,£ 500  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,"A pair of substantial cast iron firedogs. The original antique andirons have elegant gooseneck design which end in a cannonball top. Stylised cabriole legs support the piece.  A well balanced and attractive edition for a period fireplace.Please note, this listing is for the pair of fire dogs only and not the 61.5cm central grate/basket. These can be purchased separately as they come in a range of sizes and designs to suit the chimneybreast opening. Dimensions:48cm Deep x 67cm High Dimensions are approximate.",,More than 50 years old,34907.0,10617.0,CHARLOTTE,2022-03-25,,2023-09-07
572,Antique Brass & Iron Fireplace Companion Set,https://www.salvoweb.com/34909-antique-brass-iron-fireplace-companion-set,£ 325  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,"A wonderful addition to a fireplace renovation, this original antique companion set is comprised of 3 tools. With a wonderful patina, each of the tools has a beehive to the top and a twisted wand. The pair of tongs has a tudor rose motif.Dimensions: Each piece is approx 45cm in length",,More than 50 years old,34909.0,10617.0,GIFTED,2022-03-25,,2023-09-10
573,Antique Arched Mirror | Cast Iron Victorian Window,https://www.salvoweb.com/34912-antique-arched-mirror-cast-iron-victorian-window,£ 900  ,Architectural Forum,Antique & Reclaimed,Furniture & Mirrors,UK,UK > Hertfordshire,This antique Victorian cast iron window has been transformed into a striking and unique mirror. The arched cast-iron frame is divided into 6 panels (the top two being arched) each central join has a decorative floral. The cast iron has been hand polished and delivers a pewter hue.Dimensions:64cm wide x 140cm high x 6cm deepDimensions are approxmate,,More than 50 years old,34912.0,10617.0,BOSS,2022-03-25,,2023-08-31
574,Antique Victorian Cast Iron Arched Fireplace Insert,https://www.salvoweb.com/34835-antique-victorian-cast-iron-arched-fireplace-insert,£ 1140  ,Architectural Forum,Antique & Reclaimed,"Chimneypieces, Fireplaces & Grates",UK,UK > Hertfordshire,"An Antique Cast Iron Arched Fireplace Insert from the early Victorian era.This charming reclaimed insert has a very simple design allowing it to work well with a variety of settings and fireplace surrounds. An excellent option for those looking to install original period features to a Victorian renovation. The insert has been fully restored and is ready to be installed and used. The piece can also have a gas kit installed if required, please contact us for more details.Dimensions91.5cm W x 76cm H  Dimensions are approximate",,More than 50 years old,34835.0,10617.0,OSAKA,2022-03-15,,2023-09-09
575,Antique Victorian Wrought Iron Stained Glass Lantern,https://www.salvoweb.com/34696-antique-victorian-wrought-iron-stained-glass-lantern,£ 1600  ,Architectural Forum,Antique & Reclaimed,Lighting,UK,UK > Hertfordshire,A striking early 20th Century wrought iron antique lantern with a painted gold finish.The beautiful piece has been restored by our in-house glazier with bold and vibrant alternating stained glass panes.One of the panes acts as a door allowing access to the internal area of the lantern. The scrolling curls of the wrought iron are teamed with florals and finials that deliver an attractive and feminine form typical of the period.The lantern will come fully wired and ready for use. Dimensions Height including chain and rose: 73cmOverall Width 31cmDimensions are approximate,,More than 50 years old,34696.0,10617.0,HOLLYHOCK,2022-02-25,,2023-08-27
576,Original Victorian Four Panel Door - 201cm x 81cm,https://www.salvoweb.com/34614-original-victorian-four-panel-door-201cm-x-81cm,£ 120  ,Architectural Forum,Antique & Reclaimed,Doors & Handles,UK,UK > Hertfordshire,An antique Victorian pine door with four panels.201cm high x 81cm wide x 4.5cmRef: H14Dimensions are approzimate,,More than 50 years old,34614.0,10617.0,H14,2022-02-18,,2023-09-04
